Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
How often do you use Facebook?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m on Facebook constantly,2
How often do you use Facebook?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m on Facebook constantly,4
How often do you use Facebook?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,I check it a couple times a day,2
How often do you use Facebook?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,"I check it once a day, if I have time",2
How often do you use Facebook?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I check it a couple times a day,8
How often do you use Facebook?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"I check it once a day, if I have time",3
How often do you use Facebook?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I check it a couple times a day,10
How often do you use Facebook?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"I check it once a day, if I have time",5
How often do you use Facebook?,Australia,18-24 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,I’m not on Facebook,2
How often do you use Facebook?,Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,I’m not on Facebook,2
How often do you use Facebook?,Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,I’m not on Facebook,5
How often do you use Facebook?,Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,I check it a few times a week,2
How often do you use Facebook?,Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,I maybe check it once a month,1
How often do you use Facebook?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I check it a few times a week,2
How often do you use Facebook?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I maybe check it once a month,5
How often do you use Facebook?,Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I check it a few times a week,5
How often do you use Facebook?,Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I maybe check it once a month,3
How often do you use Facebook?,Australia,25-34 years old,Constant User,Average User:  I know enough to get by.,User,I’m on Facebook constantly,2
How often do you use Facebook?,Australia,25-34 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m on Facebook constantly,5
How often do you use Facebook?,Australia,25-34 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m on Facebook constantly,6
How often do you use Facebook?,Australia,25-34 years old,Daily User,Average User:  I know enough to get by.,User,I check it a couple times a day,2
How often do you use Facebook?,Australia,25-34 years old,Daily User,Average User:  I know enough to get by.,User,"I check it once a day, if I have time",3
How often do you use Facebook?,Australia,25-34 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I check it a couple times a day,11
