Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Getting the news from places I care about,11
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"It’s good for my business, I rely on it for that",4
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,None of the above,4
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Staying connected with people I care about,44
Which of the following do you like most about Facebook?,Australia,55-64 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Watching all the drama,3
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,None of the above,37
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,Staying connected with people I care about,4
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,Luddite:  Technology scares me! I only use it when I have to.,Non-user,None of the above,5
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,Luddite:  Technology scares me! I only use it when I have to.,Non-user,Staying connected with people I care about,2
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,None of the above,5
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,None of the above,20
Which of the following do you like most about Facebook?,Australia,55-64 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Staying connected with people I care about,2
