Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I'm not sure,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,No,3
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,Yes,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I'm not sure,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,7
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I'm not sure,10
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,4
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,I'm not sure,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,I'm not sure,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,Yes,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,I'm not sure,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,Yes,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I'm not sure,3
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,1
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,3
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I'm not sure,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,2
Do you know what types of personal information Facebook collects about you?,Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,4
Do you know what types of personal information Facebook collects about you?,Australia,25-34 years old,Constant User,Average User:  I know enough to get by.,User,I'm not sure,1
Do you know what types of personal information Facebook collects about you?,Australia,25-34 years old,Constant User,Average User:  I know enough to get by.,User,No,1
