Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’ve got nothing to hide.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"I’d rather not have all my personal information out there in the world, but what can I do?",2
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,"I’d rather not have all my personal information out there in the world, but what can I do?",1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,I’m not really sure what the danger is with all this data collection. It’s just the world we live in these days.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I want to be able to control what personal information is available to others.,4
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,"I’d rather not have all my personal information out there in the world, but what can I do?",1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m very private. I don’t want any of my personal information out there without my consent.,6
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I want to be able to control what personal information is available to others.,6
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"I’d rather not have all my personal information out there in the world, but what can I do?",6
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m not really sure what the danger is with all this data collection. It’s just the world we live in these days.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m very private. I don’t want any of my personal information out there without my consent.,2
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,Average User:  I know enough to get by.,Non-user,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,I’m very private. I don’t want any of my personal information out there without my consent.,4
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,I want to be able to control what personal information is available to others.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,"I’d rather not have all my personal information out there in the world, but what can I do?",1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I want to be able to control what personal information is available to others.,5
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m not really sure what the danger is with all this data collection. It’s just the world we live in these days.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,I’m very private. I don’t want any of my personal information out there without my consent.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I want to be able to control what personal information is available to others.,4
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,"I’d rather not have all my personal information out there in the world, but what can I do?",1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m not really sure what the danger is with all this data collection. It’s just the world we live in these days.,1
"When it comes to your personal information, which best sums up your feelings:",Australia,18-24 years old,Occasional User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,I’m very private. I don’t want any of my personal information out there without my consent.,2
