Question,Country,Age,Frequency of Use,Tech Knowledge,Facebook Users and Non-users,Answer,Total
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Constant User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,2
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,2
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Constant User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,2
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Daily User,Average User:  I know enough to get by.,User,No,4
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,9
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Daily User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,Yes,2
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,No,12
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Daily User,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",User,Yes,3
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Not on Facebook,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",Non-user,No,1
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Not on Facebook,"Technically Savvy:   I know my way around a computer pretty well. When anyone in my family needs technical help, I’m the one they call.",Non-user,No,3
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Occasional User,Average User:  I know enough to get by.,User,No,3
Have you made any changes on Facebook as a result of the recent Cambridge Analytica and Facebook revelations?,Australia,18-24 years old,Occasional User,"Super Nerd:  I build my own computers, run my own servers, code my own apps. I’m basically Mr Robot.",User,No,3
